Date,Result,Hero,Duration,KDA
10/8/15,Won ,Clockwerk,38:05:00,3/9/17
10/8/15,Lost,Naga Siren,29:17:00,0/4/10
10/8/15,Lost,Templar Assassin,41:26:00,2/7/06
10/8/15,Lost,Shadow Fiend,50:31:00,8/12/12
10/8/15,Won ,Templar Assassin,39:08:00,24/3/10
10/8/15,Lost,Naga Siren,33:29:00,1/6/05
8/8/15,Won ,Templar Assassin,53:54:00,21/7/06
2/8/15,Won ,Templar Assassin,27:50:00,17/1/03
20/6/15,Won ,Windranger,40:32:00,3/4/09
20/6/15,Won ,Naga Siren,40:04:00,4/2/19
20/6/15,Won ,Templar Assassin,25:10:00,16/0/4
20/6/15,Lost,Spectre,57:56:00,14/8/15
20/6/15,Won ,Templar Assassin,1:01:52,18/9/09
19/6/15,Won ,Lion,47:20:00,5/8/13
18/6/15,Lost,Tusk,1:03:40,8/15/21
18/6/15,Lost,Templar Assassin,47:34:00,21/4/12
15/6/15,Lost,Templar Assassin,33:04:00,7/5/02
15/6/15,Won ,Tusk,42:32:00,10/7/12
15/6/15,Won ,Tusk,32:33:00,5/3/20
15/6/15,Lost,Tusk,35:40:00,3/9/07
15/6/15,Won ,Tusk,43:25:00,4/9/09
13/6/15,Won ,Tusk,43:30:00,5/7/21
12/6/15,Won ,Tusk,31:37:00,8/1/18
12/6/15,Won ,Tusk,32:16:00,9/5/23
11/6/15,Won ,Naga Siren,30:21:00,0/0/9
10/6/15,Won ,Naga Siren,40:37:00,4/1/11
9/6/15,Won ,Tusk,29:14:00,3/8/27
9/6/15,Lost,Leshrac,43:12:00,10/12/12
8/6/15,Won ,Naga Siren,35:38:00,6/4/13
7/6/15,Won ,Jakiro,33:14:00,5/12/12
7/6/15,Won ,Magnus,36:14:00,10/2/15
6/6/15,Won ,Shadow Fiend,49:22:00,6/4/12
6/6/15,Won ,Magnus,42:35:00,7/9/14
5/6/15,Lost,Windranger,52:56:00,8/2/05
5/6/15,Won ,Naga Siren,33:33:00,5/4/21
4/6/15,Won ,Naga Siren,34:30:00,5/1/10
4/6/15,Lost,Magnus,43:16:00,7/7/10
4/6/15,Lost,Tiny,49:07:00,10/12/13
4/6/15,Won ,Templar Assassin,46:42:00,18/5/06
3/6/15,Lost,Bounty Hunter,29:26:00,4/5/05
3/6/15,Won ,Naga Siren,43:32:00,5/2/13
